                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4431,                 3.5474,                 2.6466,                0.00421,                0.24187,                0.00378,                0.00112,                  3.391,                 3.6111,                 2.9045,             0.00065537,             0.00065537,             0.00065537
                      2,                 3.2193,                 3.3276,                 2.4744,                0.02967,                0.04174,                0.00604,                0.00164,                 3.3677,                 4.0262,                 2.9069,              0.0012959,              0.0012959,              0.0012959
                      3,                 3.2188,                 3.3338,                   2.48,                0.00361,                0.20749,                0.00229,                0.00068,                 3.3428,                  4.231,                 2.9177,              0.0019099,              0.0019099,              0.0019099
                      4,                 3.2002,                 3.2896,                 2.5158,                0.00403,                0.23143,                0.00417,                0.00112,                 3.5786,                 3.6718,                 3.1071,              0.0018812,              0.0018812,              0.0018812
                      5,                   3.14,                 3.3096,                 2.4664,                0.00855,                0.03131,                0.00381,                0.00103,                 3.4866,                 3.7967,                  2.936,              0.0018812,              0.0018812,              0.0018812
                      6,                 3.0973,                 3.3006,                 2.4501,                0.00583,                0.01535,                0.00361,                0.00108,                 3.2372,                 3.6334,                 2.7134,              0.0018416,              0.0018416,              0.0018416
                      7,                 3.0654,                  3.263,                 2.4714,                0.00385,                0.22099,                0.00348,                0.00103,                 3.2327,                 3.5004,                 2.7483,               0.001802,               0.001802,               0.001802
                      8,                 3.0045,                 3.3045,                 2.4361,                0.00403,                0.22775,                0.00607,                0.00179,                 3.2618,                 3.6502,                 2.7453,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.9741,                 3.2741,                 2.4058,                0.00368,                0.21117,                0.00308,                0.00088,                  3.194,                 3.5266,                  2.663,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.9612,                 3.2395,                 2.4047,                  0.005,                0.28484,                0.00605,                0.00189,                 3.0255,                 3.4234,                 2.6819,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.9191,                  3.256,                 2.3867,                0.00441,                0.13198,                0.00217,                0.00073,                 3.2727,                 4.4562,                 2.8393,              0.0016436,              0.0016436,              0.0016436
                     12,                  2.908,                 3.2443,                 2.3808,                0.00488,                0.26949,                 0.0056,                0.00153,                 3.1317,                 3.4058,                 2.6124,               0.001604,               0.001604,               0.001604
                     13,                 2.8885,                 3.2677,                 2.3674,                0.00417,                0.22959,                 0.0042,                0.00138,                  3.172,                 3.5365,                 2.7435,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.8981,                 3.2118,                 2.3589,                0.00511,                0.28238,                0.00544,                0.00159,                 3.0431,                 3.4408,                 2.6152,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.8883,                 3.2031,                 2.3447,                0.01285,                0.05034,                0.00585,                 0.0018,                  3.036,                 3.4194,                  2.603,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.8663,                 3.1888,                 2.3458,                0.00556,                0.25721,                0.00798,                0.00246,                 3.0175,                 3.5543,                 2.7191,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.8476,                 3.1638,                 2.3419,                0.00549,                 0.3143,                0.00919,                 0.0025,                 3.0365,                 3.3747,                 2.7508,               0.001406,               0.001406,               0.001406
                     18,                 2.8125,                 3.1773,                 2.3246,                0.00459,                0.25783,                0.00577,                0.00203,                 3.1707,                 3.7262,                 2.6925,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.7651,                 3.1714,                 2.3029,                 0.0071,                0.22836,                0.00497,                0.00137,                 3.1708,                 3.4543,                 2.5818,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.8203,                 3.1536,                 2.3316,                0.00586,                0.33211,                0.01071,                0.00315,                 2.9272,                  3.316,                 2.6134,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.8022,                  3.143,                 2.2963,                0.00635,                0.36096,                0.01414,                0.00387,                 2.9023,                 3.2848,                 2.5711,              0.0012476,              0.0012476,              0.0012476
                     22,                  2.783,                 3.1468,                 2.3008,                0.01164,                0.04727,                0.00427,                0.00118,                 3.1782,                 3.6236,                 2.6111,               0.001208,               0.001208,               0.001208
                     23,                 2.7558,                 3.1294,                 2.2859,                0.01987,                0.14119,                 0.0085,                0.00255,                 2.9222,                 3.3036,                 2.5066,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.7469,                 3.1222,                 2.2916,                0.01796,                0.10497,                0.00753,                0.00211,                 2.9465,                 3.4094,                 2.5501,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.7723,                 3.1051,                 2.2883,                0.00687,                0.39288,                0.01565,                0.00432,                 2.8669,                 3.3186,                 2.5244,              0.0010892,              0.0010892,              0.0010892
                     26,                  2.723,                  3.132,                 2.2582,                0.00703,                0.37999,                0.01921,                0.00765,                 2.8167,                 3.2332,                 2.5053,              0.0010496,              0.0010496,              0.0010496
                     27,                 2.7146,                 3.1406,                   2.26,                0.00744,                0.38797,                0.01395,                0.00403,                  2.913,                 3.2502,                 2.5019,                0.00101,                0.00101,                0.00101
                     28,                 2.7312,                 3.0841,                 2.2733,                0.00583,                0.32842,                0.00872,                0.00243,                 3.0657,                 3.3708,                 2.5621,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.7418,                 3.0685,                 2.2584,                0.00708,                0.37937,                0.01726,                0.00591,                  2.759,                 3.1998,                 2.4785,              0.0009308,              0.0009308,              0.0009308
                     30,                 2.7329,                 3.0514,                 2.2292,                0.01675,                0.29589,                0.01854,                0.00689,                 2.9188,                 3.2814,                 2.4757,              0.0008912,              0.0008912,              0.0008912
                     31,                 2.6972,                 3.0518,                  2.225,                0.00862,                0.33088,                 0.0099,                0.00301,                 2.8948,                 3.2673,                 2.5249,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.6669,                 3.0406,                 2.2311,                0.02806,                0.16882,                0.01313,                0.00389,                 2.8306,                 3.1444,                 2.4691,               0.000812,               0.000812,               0.000812
                     33,                 2.6716,                 3.0023,                  2.212,                0.05346,                 0.0485,                0.01815,                0.00577,                 2.8204,                 3.1198,                 2.5153,              0.0007724,              0.0007724,              0.0007724
                     34,                 2.6579,                 3.0299,                 2.2146,                0.05176,                0.03192,                0.02275,                0.00778,                 2.7866,                 3.1529,                 2.5048,              0.0007328,              0.0007328,              0.0007328
                     35,                 2.6522,                 3.0176,                 2.2206,                0.04021,                 0.1283,                0.02296,                0.00714,                 2.7726,                 3.1258,                 2.4469,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.6657,                 2.9841,                 2.1842,                0.06598,                0.07366,                  0.022,                 0.0073,                 2.8224,                 3.1339,                 2.4556,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.6244,                 3.0272,                  2.169,                0.02985,                0.19583,                0.01681,                0.00497,                 2.8626,                 3.1236,                 2.4454,               0.000614,               0.000614,               0.000614
                     38,                  2.598,                 2.9658,                  2.153,                 0.0694,                0.08533,                0.02168,                0.00703,                 2.7496,                 3.1128,                 2.4217,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.6035,                 2.9583,                 2.1643,                0.03199,                0.14242,                0.01393,                0.00414,                  2.777,                 3.1254,                 2.4182,              0.0005348,              0.0005348,              0.0005348
                     40,                  2.625,                  2.967,                 2.1934,                0.03758,                0.07182,                0.01767,                0.00434,                 2.9275,                 3.2013,                 2.4828,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.6982,                 3.1851,                  2.313,                0.05621,                0.05893,                0.01691,                0.00474,                 2.7985,                 3.1493,                 2.4001,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.6751,                 3.0829,                 2.2695,                0.05896,                0.05586,                0.01937,                0.00543,                 2.8623,                  3.103,                 2.4326,               0.000416,               0.000416,               0.000416
                     43,                 2.6075,                 3.0284,                  2.251,                0.05734,                 0.0798,                 0.0241,                0.00791,                 2.6941,                 3.0415,                 2.3802,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.5846,                  2.985,                 2.2441,                0.09174,                0.06323,                0.03226,                0.01244,                 2.6849,                 2.9971,                 2.3698,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.5863,                 3.0218,                 2.2654,                0.07371,                0.06568,                0.02914,                0.01136,                 2.7256,                 3.0058,                 2.3816,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.5682,                 2.9761,                 2.2179,                0.07294,                0.07305,                0.03002,                0.01128,                 2.7222,                 3.0453,                 2.3904,              0.0002576,              0.0002576,              0.0002576
                     47,                  2.551,                 2.9615,                 2.2318,                0.07597,                0.07428,                0.03092,                0.01144,                 2.7002,                  2.994,                 2.3723,               0.000218,               0.000218,               0.000218
                     48,                  2.554,                 2.9672,                 2.2385,                0.07762,                 0.0798,                0.03254,                0.01192,                 2.6427,                 2.9834,                 2.3428,              0.0001784,              0.0001784,              0.0001784
                     49,                 2.5422,                 2.9558,                 2.2314,                 0.0814,                0.06998,                0.03333,                0.01199,                 2.6621,                 2.9724,                 2.3436,              0.0001388,              0.0001388,              0.0001388
                     50,                 2.5381,                 2.9802,                  2.218,                0.08943,                0.07551,                0.03641,                0.01345,                 2.6517,                 2.9604,                 2.3347,               9.92e-05,               9.92e-05,               9.92e-05
